pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Kyrgyz-South,Mordvin,2.115,6,34,0.183,54.49,44.21,Europe,Russia
Eritrean,Algerian,0.237,3,4,0.237,36.75,3.04,Africa,Algeria
Libyan,Turk-Northeast,1.285,5,9,0.29,41,39.73,Asia,Turkey
Jew-Iberian,Sicilian-East,1.627,3,6,0.583,37.14,15.24,Europe,Italy
Scot,Karachay,2.879,4,11,0.689,43.94,42.52,Europe,Russia
Austria-AJ,Spanish-South,2.577,3,8,0.56,37.7,-3.55,Europe,Spain
Sicilian-East,Italian-South,2.281,6,15,0.28,41.89,14.49,Europe,Italy
Afar,English-Southeast,0.474,5,5,0.223,51.19,0.73,Europe,United Kingdom
Shaigi,Somali,0.085,3,13,0.085,5.6,48.3,Africa,Kenya
French-Southwest,Ossetian,1.51,6,18,0.195,43.07,44.23,Europe,Russia
Kryashen,Karachay,3.23,3,11,0.434,43.94,42.52,Europe,Russia
Kyrgyz-South,Ingush,1.504,6,9,0.286,43.52,44.58,Europe,Russia
Jew-Iraqi,Portuguese,0.703,6,10,0.166,39.4,-8.22,Europe,Portugal
Austria-AJ,Yemenite-Northwest,1.378,3,26,0.211,15.74,44.45,Asia,Yemen
French-Southwest,Jew-Ethiopian,0.158,6,7,0.089,9.03,38.73,Africa,Ethiopia
Cossack,Tunisian,1.178,4,8,0.275,36.82,10.17,Africa,Tunisia
Spanish-Northwest,Spanish-Balearic,3.797,5,29,0.3,39.33,2.37,Europe,Spain
English-Southwest,Kazakh-West,1.35,5,13,0.209,51.8,67.16,Asia,Kazakhstan
Eritrean,Sicilian-West,0.801,3,14,0.231,38.02,12.52,Europe,Italy
Algerian,Turk-Northwest,1.096,4,18,0.177,40.4,28.56,Asia,Turkey
French-Southeast,Albanian,2.783,5,9,0.411,41.32,19.82,Europe,Albania
Mansi,Belarusian,6.515,5,14,0.745,53.64,27.47,Europe,Belarus
Spanish-Northwest,Russian-Northwest,3.034,5,9,0.429,57.59,28.73,Europe,Russia
Jew-Iberian,Karelian,2.273,3,17,0.335,60.85,32.14,Europe,Russia
